"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J12,J1,J2,J5,J6,J4,J8,J10,J3,J11,J13,J7";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";12;"Conn_01x03_Pin";;;
2;"REF**,REF**";"PinSocket_1x15_P2.54mm_Vertical";2;"PinSocket_1x15_P2.54mm_Vertical";;;
3;"J14";"JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal";1;"Conn_01x04_Pin";;;
4;"J15";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Socket";;;
5;"A1";"Arduino_Nano";1;"Arduino_Nano_v2.x";;;
6;"SW1,SW3,SW2";"SW_PUSH_6mm_H7.3mm";3;"SW_Push";;;
7;"J20";"PinSocket_1x06_P2.54mm_Vertical";1;"Conn_01x06_Socket";;;
8;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"R";;;
9;"C1";"CP_Radial_D5.0mm_P2.00mm";1;"C_Polarized";;;
10;"J9";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"Conn_01x02_Pin";;;
11;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4.7k";;;
